CustomerID,Recency,Frequency,Monetary,AOV,Tenure,PurchaseInterval,Monetary_log,Frequency_log,Recency_log
12346.0,142,12.0,25654.80140000001,1932.8340000000014,400,33.333333333333336,10.152525000463704,2.5649493574615367,4.962844630259907
12347.0,63,4.0,3146.75,786.6875,157,39.25,8.05444319088181,1.6094379124341003,4.1588830833596715
12348.0,65,4.0,1709.4,427.35,189,47.25,7.444482540270781,1.6094379124341003,4.189654742026425
12349.0,224,3.0,2671.14,890.38,181,60.333333333333336,7.890634928493536,1.3862943611198906,5.41610040220442
12350.0,126,1.0,334.4,334.4,0,0.0,5.815323849389109,0.6931471805599453,4.844187086458591
12351.0,191,1.0,300.93,300.93,0,0.0,5.710195202428391,0.6931471805599453,5.2574953720277815
12352.0,78,7.0,1905.61,272.22999999999996,130,18.571428571428573,7.553082074984357,2.0794415416798357,4.3694478524670215
12353.0,20,2.0,406.76,203.38,204,102.0,6.010678766031786,1.0986122886681098,3.044522437723423
12354.0,48,1.0,1079.4,1079.4,0,0.0,6.985086621918461,0.6931471805599453,3.8918202981106265
12355.0,30,2.0,947.61,473.805,353,176.5,6.854997755239065,1.0986122886681098,3.4339872044851463
12356.0,62,5.0,6315.33,1263.066,179,35.8,8.75089362226903,1.791759469228055,4.143134726391533
12357.0,204,2.0,12079.99,1932.8340000000014,0,0.0,9.399388421773173,1.0986122886681098,5.3230099791384085
12358.0,192,3.0,2719.01,906.3366666666667,356,118.66666666666667,7.908390835753873,1.3862943611198906,5.262690188904886
12359.0,6,9.0,6059.09,673.2322222222223,544,60.44444444444444,8.709479930438226,2.302585092994046,1.9459101490553132
12360.0,17,6.0,2674.41,445.73499999999996,455,75.83333333333333,7.89185791861334,1.9459101490553132,2.8903717578961645
12361.0,103,4.0,511.25,127.8125,394,98.5,6.238812787119009,1.6094379124341003,4.6443908991413725
12362.0,42,3.0,1104.34,368.1133333333333,512,170.66666666666666,7.007908258931975,1.3862943611198906,3.7612001156935624
12363.0,58,1.0,299.1,299.1,0,0.0,5.704115752446321,0.6931471805599453,4.07753744390572
12365.0,107,2.0,641.38,320.69,0,0.0,6.465180028897591,1.0986122886681098,4.68213122712422
12366.0,450,1.0,500.24,500.24,0,0.0,6.217085028297085,0.6931471805599453,6.111467339502679
12368.0,444,1.0,917.6999999999999,917.6999999999999,0,0.0,6.822959627277421,0.6931471805599453,6.09807428216624
12369.0,229,3.0,1791.15,597.0500000000001,228,76.0,7.491171295388921,1.3862943611198906,5.438079308923196
12370.0,91,6.0,3581.03,596.8383333333334,394,65.66666666666667,8.183684957794965,1.9459101490553132,4.5217885770490405
12371.0,225,3.0,2179.42,726.4733333333334,235,78.33333333333333,7.687272797776933,1.3862943611198906,5.420534999272286
12372.0,29,2.0,914.9200000000001,457.46000000000004,83,41.5,6.819929024615557,1.0986122886681098,3.4011973816621555
12373.0,127,3.0,1127.65,375.8833333333334,362,120.66666666666667,7.028777507229587,1.3862943611198906,4.852030263919617
12374.0,237,3.0,2246.29,748.7633333333333,166,55.333333333333336,7.717480324827861,1.3862943611198906,5.472270673671475
12376.0,206,2.0,503.15,251.575,28,14.0,6.222873842839224,1.0986122886681098,5.332718793265369
